Key,Id,English(en),German(de)
"line:00647e1",152647336169,"Em_Past: Ich bin doch erst 15","Em_Past: Ich bin doch erst 15"
"line:0d5b896",152647336170,"Bystander: Was stellt die sich jetzt so an?","Bystander: Was stellt die sich jetzt so an?"
"line:0c93603",152647336171,"Bystander: Heute darfst ja echt nix mehr sagen.","Bystander: Heute darfst ja echt nix mehr sagen."
"line:0c0069a",152647336172,"Bystander: Muss die sich auch so anziehen?","Bystander: Muss die sich auch so anziehen?"
"line:0862dbd",152647336173,"Bystander: Um die Zeit noch alleine unterwegs sein, was denkt die sich auch dabei ...","Bystander: Um die Zeit noch alleine unterwegs sein, was denkt die sich auch dabei ..."
"line:04552da",152647336174,"Mama: Schreib mir, wenn du daheim bist, ok?","Mama: Schreib mir, wenn du daheim bist, ok?"
"line:071e787",152647336175,"Em_Present: Sowas würde ich mir nie gefallen lassen.","Em_Present: Sowas würde ich mir nie gefallen lassen."
"line:0f0e0e2",152647336176,"Em_Present: Ich bin Herrin über meinen Körper, aber da war ich es nicht.","Em_Present: Ich bin Herrin über meinen Körper, aber da war ich es nicht."
"line:065462a",152647336177,"Em_Present: Wie soll ich diesen Knochen je wieder vertrauen?","Em_Present: Wie soll ich diesen Knochen je wieder vertrauen?"
"line:0195a5d",152647336178,"Em_Present: Ich weiß es ist nicht meine Schuld aber-","Em_Present: Ich weiß es ist nicht meine Schuld aber-"
"line:0acbd8f",152647336179,"Em_Present: So schwach werde ich nie wieder sein.","Em_Present: So schwach werde ich nie wieder sein."
"line:08e215e",152647336180,"Em_Present: Meine Mutter hat gefragt, wie es mir geht.","Em_Present: Meine Mutter hat gefragt, wie es mir geht."
"line:03cff3c",152647336181,"Em_Present: ""Gut,"" habe ich geantwortet.","Em_Present: ""Gut,"" habe ich geantwortet."
"line:06f2448",152647336182,"Em_Present: Für alles andere hab ich mich zu sehr geschämt.","Em_Present: Für alles andere hab ich mich zu sehr geschämt."
